Order,Year,Month,Tag,Pre
393,1933,9,193309,1344
394,1933,10,193310,247
395,1933,11,193311,849
396,1933,12,193312,474
397,1934,1,193401,126
398,1934,2,193402,575
399,1934,3,193403,668
400,1934,4,193404,1132
401,1934,5,193405,2453
402,1934,6,193406,3665
403,1934,7,193407,1768
404,1934,8,193408,2631
405,1934,9,193409,941
406,1934,10,193410,532
407,1934,11,193411,647
408,1934,12,193412,552
409,1935,1,193501,757
410,1935,2,193502,858
411,1935,3,193503,1410
412,1935,4,193504,1819
413,1935,5,193505,2350
414,1935,6,193506,3341
415,1935,7,193507,2674
416,1935,8,193508,2533
417,1935,9,193509,1216
418,1935,10,193510,1032
419,1935,11,193511,589
420,1935,12,193512,591
421,1936,1,193601,136
422,1936,2,193602,669
423,1936,3,193603,719
424,1936,4,193604,1427
425,1936,5,193605,3254
426,1936,6,193606,1883
427,1936,7,193607,1283
428,1936,8,193608,3510
429,1936,9,193609,1768
430,1936,10,193610,210
431,1936,11,193611,184
432,1936,12,193612,620
433,1937,1,193701,671
434,1937,2,193702,378
435,1937,3,193703,908
436,1937,4,193704,1258
437,1937,5,193705,2540
438,1937,6,193706,2401
439,1937,7,193707,1470
440,1937,8,193708,4055
441,1937,9,193709,1398
442,1937,10,193710,70
443,1937,11,193711,240
444,1937,12,193712,187
445,1938,1,193801,374
446,1938,2,193802,981
447,1938,3,193803,1033
448,1938,4,193804,561
449,1938,5,193805,2552
450,1938,6,193806,760
451,1938,7,193807,1261
452,1938,8,193808,2757
453,1938,9,193809,1147
454,1938,10,193810,346
455,1938,11,193811,411
456,1938,12,193812,261
457,1939,1,193901,258
458,1939,2,193902,349
459,1939,3,193903,959
460,1939,4,193904,1887
461,1939,5,193905,2332
462,1939,6,193906,2660
463,1939,7,193907,1611
464,1939,8,193908,1724
465,1939,9,193909,1219
466,1939,10,193910,575
467,1939,11,193911,830
468,1939,12,193912,11
469,1940,1,194001,232
470,1940,2,194002,435
471,1940,3,194003,2334
472,1940,4,194004,1635
473,1940,5,194005,2303
474,1940,6,194006,3570
475,1940,7,194007,1989
476,1940,8,194008,2301
477,1940,9,194009,682
478,1940,10,194010,600
479,1940,11,194011,561
480,1940,12,194012,261
481,1941,1,194101,831
482,1941,2,194102,1430
483,1941,3,194103,1787
484,1941,4,194104,1562
485,1941,5,194105,2767
486,1941,6,194106,2591
487,1941,7,194107,3086
488,1941,8,194108,2762
489,1941,9,194109,523
490,1941,10,194110,699
491,1941,11,194111,637
492,1941,12,194112,458
493,1942,1,194201,43
494,1942,2,194202,385
495,1942,3,194203,1538
496,1942,4,194204,1732
497,1942,5,194205,2610
498,1942,6,194206,2776
499,1942,7,194207,3237
500,1942,8,194208,1453
501,1942,9,194209,385
502,1942,10,194210,1043
503,1942,11,194211,345
504,1942,12,194212,451
505,1943,1,194301,210
506,1943,2,194302,273
507,1943,3,194303,1098
508,1943,4,194304,1365
509,1943,5,194305,1873
510,1943,6,194306,2679
511,1943,7,194307,2547
512,1943,8,194308,2748
513,1943,9,194309,1349
514,1943,10,194310,371
515,1943,11,194311,150
516,1943,12,194312,168
517,1944,1,194401,74
518,1944,2,194402,561
519,1944,3,194403,1222
520,1944,4,194404,2062
521,1944,5,194405,2977
522,1944,6,194406,2857
523,1944,7,194407,1600
524,1944,8,194408,2516
525,1944,9,194409,824
526,1944,10,194410,745
527,1944,11,194411,1120
528,1944,12,194412,301
529,1945,1,194501,252
530,1945,2,194502,990
531,1945,3,194503,922
532,1945,4,194504,2003
533,1945,5,194505,2222
534,1945,6,194506,2435
535,1945,7,194507,1919
536,1945,8,194508,2336
537,1945,9,194509,1344
538,1945,10,194510,243
539,1945,11,194511,673
540,1945,12,194512,440
541,1946,1,194601,368
542,1946,2,194602,188
543,1946,3,194603,921
544,1946,4,194604,1175
545,1946,5,194605,3426
546,1946,6,194606,3251
547,1946,7,194607,2838
548,1946,8,194608,1841
549,1946,9,194609,970
550,1946,10,194610,210
551,1946,11,194611,115
552,1946,12,194612,533
553,1947,1,194701,820
